ID,분야,제목,저자/팀,연도/기준 문헌,자료 유형,무엇을 모델링했나,출처
M001,사회적 상호작용·의견,Dynamic models of segregation,Thomas C. Schelling,1971,paper,개인이 원하는 이웃의 구성과 이사가 모여 도시 전체의 주거 분리를 만드는 과정.,https://doi.org/10.1080/0022250X.1971.9989794
M002,사회적 상호작용·의견,The checkerboard model of social interaction,James M. Sakoda,1971,paper,집단 사이의 호감·반감에 따른 이동이 공간적 사회 구조를 만드는 과정.,https://doi.org/10.1080/0022250X.1971.9989791
M003,사회적 상호작용·의견,Threshold Models of Collective Behavior,Mark Granovetter,1978,paper,주변에서 일정 수 이상이 참여해야 자신도 참여하는 집단행동의 확산.,https://doi.org/10.1086/226707
M004,사회적 상호작용·의견,Reaching a Consensus,Morris H. DeGroot,1974,paper,사람들이 서로의 의견을 가중 평균하며 합의에 도달하는 과정.,https://www.cse.cuhk.edu.hk/~cslui/CMSC5734/DeGroot-Reaching_a_concensus.pdf
M005,사회적 상호작용·의견,Social influence and opinions,Noah E. Friedkin; Eugene C. Johnsen,1990,paper,타인의 영향과 자신의 기존 입장에 대한 고집이 함께 만드는 의견 변화.,https://doi.org/10.1080/0022250X.1990.9990069
M006,사회적 상호작용·의견,"Opinion dynamics and bounded confidence: models, analysis and simulation",Rainer Hegselmann; Ulrich Krause,2002,paper,자신과 충분히 비슷한 의견만 받아들일 때 합의·양극화·분열이 생기는 과정.,https://www.jasss.org/5/3/2.html
M007,사회적 상호작용·의견,The Dissemination of Culture: A Model with Local Convergence and Global Polarization,Robert Axelrod,1997,paper,가까운 사람을 모방하면서도 사회 전체에는 서로 다른 문화권이 남는 과정.,https://doi.org/10.1177/0022002797041002001
M008,사회적 상호작용·의견,The psychology of social impact,Bibb Latané,1981,paper,타인의 영향력·가까움·인원수가 개인에게 가해지는 사회적 압력을 바꾸는 방식.,https://www.researchgate.net/publication/232490033_The_Psychology_of_Social_Impact
M009,사회적 상호작용·의견,"A Theory of Fads, Fashion, Custom, and Cultural Change as Informational Cascades",Sushil Bikhchandani; David Hirshleifer; Ivo Welch,1992,paper,앞선 사람들의 선택을 보고 자기 정보를 무시하면서 유행과 쏠림이 형성되는 과정.,https://doi.org/10.1086/261849
M010,사회적 상호작용·의견,Complex Contagions and the Weakness of Long Ties,Damon Centola; Michael Macy,2007,paper,여러 사람의 확인과 지지가 있어야 채택되는 행동이 관계망을 따라 퍼지는 과정.,https://doi.org/10.1086/521848
