country,indicator,year,value,obs_status,unit,source_lastupdated,retrieved_utc
JPN,IT.CEL.SETS.P2,1990,0.701838322,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,1991,1.110714636,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,1992,1.376149484,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,1993,1.70810566,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,1994,3.461792124,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,1995,9.337292835,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,1996,21.40087434,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,1997,30.35349093,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,1998,37.45403769,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,1999,44.91767666,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2000,52.5746173540028,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2001,58.7922921478922,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2002,63.6299013940492,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2003,67.8735418673073,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2004,71.5670665187225,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2005,75.4291988176682,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2006,77.9907399102107,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2007,83.8011886263973,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2008,86.1411128734599,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2009,90.7193519244929,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2010,96.1788512760143,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2011,103.641547955059,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2012,110.319058838317,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2013,115.787169243408,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2014,123.822099584501,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2015,126.150959704287,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2016,131.214861037498,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2017,135.985843116605,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2018,141.728728918149,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2019,147.209910756974,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2020,154.432206765516,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2021,159.516123485628,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2022,168.602943650636,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2023,178.432441299977,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2024,,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.CEL.SETS.P2,2025,,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,1990,0.181334835,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,1991,0.373382025,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,1992,0.608287335,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,1993,1.049975406,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,1994,2.126074209,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,1995,3.615707017,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,1996,6.966660745,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,1997,14.96611806,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,1998,30.31034269,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,1999,50.39230494,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2000,57.3408437262605,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2001,61.7420382357865,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2002,68.3786357970296,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2003,70.6984149567203,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2004,76.705022268137,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2005,80.1274936342835,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2006,83.7326193913918,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2007,92.0940186995266,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2008,94.314085183969,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2009,98.7589987345583,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2010,104.09665032935,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2011,106.878306781378,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2012,108.114681779859,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2013,109.206248930023,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2014,113.358579550833,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2015,115.595447050042,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2016,119.489512998783,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2017,123.642066127533,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2018,128.494634504197,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2019,133.079790493891,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2020,135.973274343048,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2021,140.516382791931,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2022,148.68360770138,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2023,162.11365652794,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2024,172.520241179065,,,2026-07-13,2026-09-20T08:07:50Z
KOR,IT.CEL.SETS.P2,2025,,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,1990,2.129545117,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,1991,3.004111275,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,1992,4.323596882,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,1993,6.186519908,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,1994,9.202002036,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,1995,12.71760532,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,1996,16.37381226,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,1997,20.30588082,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,1998,25.09083926,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,1999,30.82116044,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2000,38.8931449211963,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2001,45.2019710071462,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2002,49.3931508029532,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2003,55.4096280855899,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2004,63.1242068595345,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2005,68.8835039746019,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2006,76.8586480652849,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2007,82.5922706237223,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2008,85.680465188068,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2009,89.0461412720864,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2010,91.6593077558393,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2011,94.682964660635,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2012,96.1284261999864,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2013,97.0595305732914,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2014,99.839569071329,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2015,101.831958781319,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2016,102.751864866695,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2017,102.380562632686,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2018,103.935307364,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2019,105.32074052965,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2020,103.855170008567,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2021,106.324514306135,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2022,108.785640656159,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2023,112.410910606372,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2024,113.190481805755,,,2026-07-13,2026-09-20T08:07:50Z
USA,IT.CEL.SETS.P2,2025,,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.NET.BBND.P2,1990,,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.NET.BBND.P2,1991,,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.NET.BBND.P2,1992,,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.NET.BBND.P2,1993,,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.NET.BBND.P2,1994,,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.NET.BBND.P2,1995,,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.NET.BBND.P2,1996,,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.NET.BBND.P2,1997,,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.NET.BBND.P2,1998,0.025334817,,,2026-07-13,2026-09-20T08:07:50Z
JPN,IT.NET.BBND.P2,1999,0.170676696,,,2026-07-13,2026-09-20T08:07:50Z
